Web Search interest: etf; mutual fund
Worldwide; 2004 - present

Interest over time
Week,etf,mutual fund
2010-04-11 - 2010-04-17,52,54
2010-04-18 - 2010-04-24,51,53
2010-04-25 - 2010-05-01,55,54
2010-05-02 - 2010-05-08,68,52
2010-05-09 - 2010-05-15,71,50
2010-05-16 - 2010-05-22,70,46
2010-05-23 - 2010-05-29,57,45
2010-05-30 - 2010-06-05,48,45
2010-06-06 - 2010-06-12,52,44
2010-06-13 - 2010-06-19,44,49
2010-06-20 - 2010-06-26,46,51
2010-06-27 - 2010-07-03,49,53
2010-07-04 - 2010-07-10,45,52
2010-07-11 - 2010-07-17,42,55
2010-07-18 - 2010-07-24,43,52
2010-07-25 - 2010-07-31,45,50
2010-08-01 - 2010-08-07,46,55
2010-08-08 - 2010-08-14,44,55
2010-08-15 - 2010-08-21,45,57
2010-08-22 - 2010-08-28,50,51
2010-08-29 - 2010-09-04,42,52
2010-09-05 - 2010-09-11,41,54
2010-09-12 - 2010-09-18,48,63
2010-09-19 - 2010-09-25,54,66
2010-09-26 - 2010-10-02,49,57
2010-10-03 - 2010-10-09,59,58
2010-10-10 - 2010-10-16,62,52
2010-10-17 - 2010-10-23,57,50
2010-10-24 - 2010-10-30,57,49
2010-10-31 - 2010-11-06,63,47
2010-11-07 - 2010-11-13,68,58
2010-11-14 - 2010-11-20,55,51
2010-11-21 - 2010-11-27,46,47
2010-11-28 - 2010-12-04,52,49
2010-12-05 - 2010-12-11,54,51
2010-12-12 - 2010-12-18,56,48
2010-12-19 - 2010-12-25,53,53
2010-12-26 - 2011-01-01,61,55
2011-01-02 - 2011-01-08,69,61
2011-01-09 - 2011-01-15,65,52
2011-01-16 - 2011-01-22,58,51
2011-01-23 - 2011-01-29,62,50
2011-01-30 - 2011-02-05,64,51
2011-02-06 - 2011-02-12,65,51
2011-02-13 - 2011-02-19,63,54
2011-02-20 - 2011-02-26,64,52
2011-02-27 - 2011-03-05,61,50
2011-03-06 - 2011-03-12,59,45
2011-03-13 - 2011-03-19,67,44
2011-03-20 - 2011-03-26,58,44
2011-03-27 - 2011-04-02,52,46
2011-04-03 - 2011-04-09,61,49
2011-04-10 - 2011-04-16,55,46
2011-04-17 - 2011-04-23,57,45
2011-04-24 - 2011-04-30,63,48
2011-05-01 - 2011-05-07,62,44
2011-05-08 - 2011-05-14,55,42
2011-05-15 - 2011-05-21,48,40
2011-05-22 - 2011-05-28,44,38
2011-05-29 - 2011-06-04,42,39
2011-06-05 - 2011-06-11,43,38
2011-06-12 - 2011-06-18,43,39
2011-06-19 - 2011-06-25,42,37
2011-06-26 - 2011-07-02,44,41
2011-07-03 - 2011-07-09,43,42
2011-07-10 - 2011-07-16,44,41
2011-07-17 - 2011-07-23,47,42
2011-07-24 - 2011-07-30,45,44
2011-07-31 - 2011-08-06,60,45
2011-08-07 - 2011-08-13,84,47
2011-08-14 - 2011-08-20,61,39
2011-08-21 - 2011-08-27,59,38
2011-08-28 - 2011-09-03,45,36
2011-09-04 - 2011-09-10,47,34
2011-09-11 - 2011-09-17,49,38
2011-09-18 - 2011-09-24,54,37
2011-09-25 - 2011-10-01,50,35
2011-10-02 - 2011-10-08,48,33
2011-10-09 - 2011-10-15,43,35
2011-10-16 - 2011-10-22,42,37
2011-10-23 - 2011-10-29,46,31
2011-10-30 - 2011-11-05,42,36
2011-11-06 - 2011-11-12,42,34
2011-11-13 - 2011-11-19,41,35
2011-11-20 - 2011-11-26,37,31
2011-11-27 - 2011-12-03,40,33
2011-12-04 - 2011-12-10,39,33
2011-12-11 - 2011-12-17,37,32
2011-12-18 - 2011-12-24,35,32
2011-12-25 - 2011-12-31,37,31
2012-01-01 - 2012-01-07,40,35
2012-01-08 - 2012-01-14,41,35
2012-01-15 - 2012-01-21,39,35
2012-01-22 - 2012-01-28,43,36
2012-01-29 - 2012-02-04,44,41
2012-02-05 - 2012-02-11,43,40
2012-02-12 - 2012-02-18,44,45
2012-02-19 - 2012-02-25,45,41
2012-02-26 - 2012-03-03,45,39
2012-03-04 - 2012-03-10,40,36
2012-03-11 - 2012-03-17,40,38
2012-03-18 - 2012-03-24,38,35
2012-03-25 - 2012-03-31,38,36
2012-04-01 - 2012-04-07,35,32
2012-04-08 - 2012-04-14,36,34
2012-04-15 - 2012-04-21,35,33
2012-04-22 - 2012-04-28,38,32
2012-04-29 - 2012-05-05,33,32
2012-05-06 - 2012-05-12,35,29
2012-05-13 - 2012-05-19,39,30
2012-05-20 - 2012-05-26,36,27
2012-05-27 - 2012-06-02,35,28
2012-06-03 - 2012-06-09,35,30
2012-06-10 - 2012-06-16,36,30
2012-06-17 - 2012-06-23,37,27
2012-06-24 - 2012-06-30,36,29
2012-07-01 - 2012-07-07,33,31
2012-07-08 - 2012-07-14,34,31
2012-07-15 - 2012-07-21,34,33
2012-07-22 - 2012-07-28,35,32
2012-07-29 - 2012-08-04,30,28
2012-08-05 - 2012-08-11,33,31
2012-08-12 - 2012-08-18,34,31
2012-08-19 - 2012-08-25,37,32
2012-08-26 - 2012-09-01,32,30
2012-09-02 - 2012-09-08,34,30
2012-09-09 - 2012-09-15,42,36
2012-09-16 - 2012-09-22,42,37
2012-09-23 - 2012-09-29,38,36
2012-09-30 - 2012-10-06,37,39
2012-10-07 - 2012-10-13,34,36
2012-10-14 - 2012-10-20,35,32
2012-10-21 - 2012-10-27,34,29
2012-10-28 - 2012-11-03,31,29
2012-11-04 - 2012-11-10,37,30
2012-11-11 - 2012-11-17,37,25
2012-11-18 - 2012-11-24,32,27
2012-11-25 - 2012-12-01,36,33
2012-12-02 - 2012-12-08,34,37
2012-12-09 - 2012-12-15,34,36
2012-12-16 - 2012-12-22,35,34
2012-12-23 - 2012-12-29,32,31
2012-12-30 - 2013-01-05,42,41
2013-01-06 - 2013-01-12,45,40
2013-01-13 - 2013-01-19,44,40
2013-01-20 - 2013-01-26,45,36
2013-01-27 - 2013-02-02,47,37
2013-02-03 - 2013-02-09,44,34
2013-02-10 - 2013-02-16,44,34
2013-02-17 - 2013-02-23,41,33
